Sensor,Physical Property,Measurement Unit,Time,Value
S43_C1_M,Humidity,Relative,2021-07-05T12:39:20Z,50
S43_C1_M,Humidity,Relative,2021-07-05T12:54:24Z,50.5
S43_C1_M,Humidity,Relative,2021-07-05T13:10:00Z,50.5
S43_C1_M,Humidity,Relative,2021-07-05T13:25:06Z,50.5
S43_C1_M,Humidity,Relative,2021-07-05T13:40:12Z,51
S43_C1_M,Humidity,Relative,2021-07-05T13:55:18Z,51
S43_C1_M,Humidity,Relative,2021-07-05T14:10:24Z,51
S43_C1_M,Humidity,Relative,2021-07-05T14:26:00Z,51.5
S43_C1_M,Humidity,Relative,2021-07-05T14:41:05Z,51.5
S43_C1_M,Humidity,Relative,2021-07-05T14:56:11Z,51.5
S43_C1_M,Humidity,Relative,2021-07-05T15:11:17Z,51.5
S43_C1_M,Humidity,Relative,2021-07-05T15:26:23Z,51.5
S43_C1_M,Humidity,Relative,2021-07-05T15:41:29Z,52
S43_C1_M,Humidity,Relative,2021-07-05T15:57:05Z,52
S43_C1_M,Humidity,Relative,2021-07-05T16:12:11Z,52
S43_C1_M,Humidity,Relative,2021-07-05T16:27:17Z,52.5
S43_C1_M,Humidity,Relative,2021-07-05T16:42:23Z,52.5
S43_C1_M,Humidity,Relative,2021-07-05T16:57:29Z,53
S43_C1_M,Humidity,Relative,2021-07-05T17:13:05Z,53
S43_C1_M,Humidity,Relative,2021-07-05T17:28:11Z,53
S43_C1_M,Humidity,Relative,2021-07-05T17:43:17Z,53.5
S43_C1_M,Humidity,Relative,2021-07-05T17:58:23Z,53.5
S43_C1_M,Humidity,Relative,2021-07-05T18:13:28Z,53.5
S43_C1_M,Humidity,Relative,2021-07-05T18:29:04Z,54
S43_C1_M,Humidity,Relative,2021-07-05T18:44:10Z,54
S43_C1_M,Humidity,Relative,2021-07-05T18:59:17Z,54
S43_C1_M,Humidity,Relative,2021-07-05T19:14:23Z,54.5
S43_C1_M,Humidity,Relative,2021-07-05T19:29:29Z,54.5
S43_C1_M,Humidity,Relative,2021-07-05T19:45:04Z,54.5
S43_C1_M,Humidity,Relative,2021-07-05T20:00:10Z,54.5
S43_C1_M,Humidity,Relative,2021-07-05T20:15:16Z,54.5
S43_C1_M,Humidity,Relative,2021-07-05T20:30:22Z,55
S43_C1_M,Humidity,Relative,2021-07-05T20:45:28Z,55
S43_C1_M,Humidity,Relative,2021-07-05T21:01:04Z,55
S43_C1_M,Humidity,Relative,2021-07-05T21:16:09Z,55
S43_C1_M,Humidity,Relative,2021-07-05T21:31:13Z,55
S43_C1_M,Humidity,Relative,2021-07-05T21:46:17Z,55.5
S43_C1_M,Humidity,Relative,2021-07-05T22:01:23Z,55.5
S43_C1_M,Humidity,Relative,2021-07-05T22:16:29Z,55.5
S43_C1_M,Humidity,Relative,2021-07-05T22:32:05Z,55.5
S43_C1_M,Humidity,Relative,2021-07-05T22:47:11Z,55.5
S43_C1_M,Humidity,Relative,2021-07-05T23:02:17Z,55.5
S43_C1_M,Humidity,Relative,2021-07-05T23:17:23Z,55.5
S43_C1_M,Humidity,Relative,2021-07-05T23:32:29Z,55.5
S43_C1_M,Humidity,Relative,2021-07-05T23:48:05Z,55.5
S43_C1_M,Humidity,Relative,2021-07-06T00:03:11Z,55.5
S43_C1_M,Humidity,Relative,2021-07-06T00:18:17Z,55.5
S43_C1_M,Humidity,Relative,2021-07-06T00:33:23Z,55.5
S43_C1_M,Humidity,Relative,2021-07-06T00:48:29Z,56
S43_C1_M,Humidity,Relative,2021-07-06T01:04:05Z,56
S43_C1_M,Humidity,Relative,2021-07-06T01:19:10Z,56
S43_C1_M,Humidity,Relative,2021-07-06T01:34:16Z,56
S43_C1_M,Humidity,Relative,2021-07-06T01:49:22Z,56
S43_C1_M,Humidity,Relative,2021-07-06T02:04:28Z,56
S43_C1_M,Humidity,Relative,2021-07-06T02:20:04Z,56
S43_C1_M,Humidity,Relative,2021-07-06T02:35:10Z,56
S43_C1_M,Humidity,Relative,2021-07-06T02:50:16Z,56
S43_C1_M,Humidity,Relative,2021-07-06T03:05:22Z,56
S43_C1_M,Humidity,Relative,2021-07-06T03:20:28Z,56
S43_C1_M,Humidity,Relative,2021-07-06T03:36:04Z,56
S43_C1_M,Humidity,Relative,2021-07-06T03:51:10Z,56
S43_C1_M,Humidity,Relative,2021-07-06T04:06:16Z,56
S43_C1_M,Humidity,Relative,2021-07-06T04:21:22Z,54
S43_C1_M,Humidity,Relative,2021-07-06T04:36:28Z,56.5
S43_C1_M,Humidity,Relative,2021-07-06T04:52:03Z,59.5
S43_C1_M,Humidity,Relative,2021-07-06T05:07:09Z,60.5
S43_C1_M,Humidity,Relative,2021-07-06T05:22:15Z,60
S43_C1_M,Humidity,Relative,2021-07-06T05:37:21Z,60
S43_C1_M,Humidity,Relative,2021-07-06T05:52:27Z,60
S43_C1_M,Humidity,Relative,2021-07-06T06:08:02Z,60.5
S43_C1_M,Humidity,Relative,2021-07-06T06:23:03Z,61
S43_C1_M,Humidity,Relative,2021-07-06T06:38:07Z,61
S43_C1_M,Humidity,Relative,2021-07-06T06:53:11Z,61
S43_C1_M,Humidity,Relative,2021-07-06T07:08:17Z,61.5
S43_C1_M,Humidity,Relative,2021-07-06T07:23:23Z,62
S43_C1_M,Humidity,Relative,2021-07-06T07:38:29Z,62
S43_C1_M,Humidity,Relative,2021-07-06T07:54:04Z,61.5
S43_C1_M,Humidity,Relative,2021-07-06T07:57:29Z,61.5
S43_C1_M,Humidity,Relative,2021-07-06T07:58:06Z,61
S43_C1_M,Humidity,Relative,2021-07-06T08:13:12Z,59
S43_C1_M,Humidity,Relative,2021-07-06T08:28:18Z,57.5
S43_C1_M,Humidity,Relative,2021-07-06T08:43:25Z,52
S43_C1_M,Humidity,Relative,2021-07-06T08:59:01Z,47
S43_C1_M,Humidity,Relative,2021-07-06T09:14:07Z,44.5
S43_C1_M,Humidity,Relative,2021-07-06T09:29:13Z,45.5
S43_C1_M,Humidity,Relative,2021-07-06T09:44:20Z,45
S43_C1_M,Humidity,Relative,2021-07-06T09:59:26Z,44.5
S43_C1_M,Humidity,Relative,2021-07-06T10:13:28Z,46
S43_C1_M,Humidity,Relative,2021-07-06T10:14:18Z,46
S43_C1_M,Humidity,Relative,2021-07-06T10:14:22Z,46
S43_C1_M,Humidity,Relative,2021-07-06T10:14:25Z,46
S43_C1_M,Humidity,Relative,2021-07-06T10:14:26Z,46
S43_C1_M,Humidity,Relative,2021-07-06T10:15:01Z,46
S43_C1_M,Humidity,Relative,2021-07-06T10:15:03Z,46
S43_C1_M,Humidity,Relative,2021-07-06T10:15:05Z,46
S43_C1_M,Humidity,Relative,2021-07-06T10:30:11Z,47
S43_C1_M,Humidity,Relative,2021-07-06T10:45:15Z,47
S43_C1_M,Humidity,Relative,2021-07-06T10:45:17Z,47
S43_C1_M,Humidity,Relative,2021-07-06T10:45:26Z,47
S43_C1_M,Humidity,Relative,2021-07-06T10:46:00Z,47
S43_C1_M,Humidity,Relative,2021-07-06T10:46:03Z,47
S43_C1_M,Humidity,Relative,2021-07-06T10:46:05Z,47
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T10:52:09Z,930
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T10:53:12Z,930
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T11:08:19Z,1142
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T11:23:25Z,1231
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T11:39:01Z,1262
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T11:54:07Z,1297
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T12:09:12Z,1334
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T12:24:16Z,1317
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T12:39:20Z,1465
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T12:54:24Z,1478
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T13:10:00Z,1513
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T13:25:06Z,1468
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T13:40:12Z,1501
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T13:55:18Z,1483
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T14:10:24Z,1434
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T14:26:00Z,1488
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T14:41:05Z,1459
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T14:56:11Z,1415
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T15:11:17Z,1441
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T15:26:23Z,1380
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T15:41:29Z,1418
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T15:57:05Z,1388
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T16:12:11Z,1345
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T16:27:17Z,1371
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T16:42:23Z,1338
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T16:57:29Z,1377
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T17:13:05Z,1339
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T17:28:11Z,1265
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T17:43:17Z,1286
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T17:58:23Z,1246
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T18:13:28Z,1304
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T18:29:04Z,1233
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T18:44:10Z,1258
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T18:59:17Z,1172
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T19:14:23Z,1164
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T19:29:29Z,1195
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T19:45:04Z,1152
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T20:00:10Z,1177
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T20:15:16Z,1145
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T20:30:22Z,1070
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T20:45:28Z,1125
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T21:01:04Z,1129
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T21:16:09Z,1092
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T21:31:13Z,1086
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T21:46:17Z,1028
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T22:01:23Z,995
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T22:16:29Z,1043
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T22:32:05Z,1000
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T22:47:11Z,1006
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T23:02:17Z,1012
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T23:17:23Z,1032
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T23:32:29Z,980
S43_C1_M,bVOC,Parts Per Billion,2021-07-05T23:48:05Z,955
S43_C1_M,bVOC,Parts Per Billion,2021-07-06T00:03:11Z,938
S43_C1_M,bVOC,Parts Per Billion,2021-07-06T00:18:17Z,981
S43_C1_M,bVOC,Parts Per Billion,2021-07-06T00:33:23Z,922
S43_C1_M,bVOC,Parts Per Billion,2021-07-06T00:48:29Z,955
S43_C1_M,bVOC,Parts Per Billion,2021-07-06T01:04:05Z,1037
S43_C1_M,bVOC,Parts Per Billion,2021-07-06T01:19:10Z,1009
S43_C1_M,bVOC,Parts Per Billion,2021-07-06T01:34:16Z,901
S43_C1_M,bVOC,Parts Per Billion,2021-07-06T01:49:22Z,961
S43_C1_M,bVOC,Parts Per Billion,2021-07-06T02:04:28Z,928
S43_C1_M,bVOC,Parts Per Billion,2021-07-06T02:20:04Z,882
S43_C1_M,bVOC,Parts Per Billion,2021-07-06T02:35:10Z,864
S43_C1_M,bVOC,Parts Per Billion,2021-07-06T02:50:16Z,851
S43_C1_M,bVOC,Parts Per Billion,2021-07-06T03:05:22Z,830
S43_C1_M,bVOC,Parts Per Billion,2021-07-06T03:20:28Z,842
S43_C1_M,bVOC,Parts Per Billion,2021-07-06T03:36:04Z,839
S43_C1_M,bVOC,Parts Per Billion,2021-07-06T03:51:10Z,834
S43_C1_M,bVOC,Parts Per Billion,2021-07-06T04:06:16Z,786
S43_C1_M,bVOC,Parts Per Billion,2021-07-06T04:21:22Z,785
S43_C1_M,bVOC,Parts Per Billion,2021-07-06T04:36:28Z,499
S43_C1_M,bVOC,Parts Per Billion,2021-07-06T04:52:03Z,499
S43_C1_M,bVOC,Parts Per Billion,2021-07-06T05:07:09Z,535
S43_C1_M,bVOC,Parts Per Billion,2021-07-06T05:22:15Z,499
S43_C1_M,bVOC,Parts Per Billion,2021-07-06T05:37:21Z,600
S43_C1_M,bVOC,Parts Per Billion,2021-07-06T05:52:27Z,499
S43_C1_M,bVOC,Parts Per Billion,2021-07-06T06:08:02Z,590
S43_C1_M,bVOC,Parts Per Billion,2021-07-06T06:23:03Z,507
S43_C1_M,bVOC,Parts Per Billion,2021-07-06T06:38:07Z,523
S43_C1_M,bVOC,Parts Per Billion,2021-07-06T06:53:11Z,499
S43_C1_M,bVOC,Parts Per Billion,2021-07-06T07:08:17Z,499
S43_C1_M,bVOC,Parts Per Billion,2021-07-06T07:23:23Z,501
S43_C1_M,bVOC,Parts Per Billion,2021-07-06T07:38:29Z,535
S43_C1_M,bVOC,Parts Per Billion,2021-07-06T07:54:04Z,524
S43_C1_M,bVOC,Parts Per Billion,2021-07-06T07:57:29Z,524
S43_C1_M,bVOC,Parts Per Billion,2021-07-06T07:58:06Z,585
S43_C1_M,bVOC,Parts Per Billion,2021-07-06T08:13:12Z,532
S43_C1_M,bVOC,Parts Per Billion,2021-07-06T08:28:18Z,513
S43_C1_M,bVOC,Parts Per Billion,2021-07-06T08:43:25Z,751
S43_C1_M,bVOC,Parts Per Billion,2021-07-06T08:59:01Z,870
S43_C1_M,bVOC,Parts Per Billion,2021-07-06T09:14:07Z,926
S43_C1_M,bVOC,Parts Per Billion,2021-07-06T09:29:13Z,902
S43_C1_M,bVOC,Parts Per Billion,2021-07-06T09:44:20Z,791
S43_C1_M,bVOC,Parts Per Billion,2021-07-06T09:59:26Z,792
S43_C1_M,bVOC,Parts Per Billion,2021-07-06T10:13:28Z,728
S43_C1_M,bVOC,Parts Per Billion,2021-07-06T10:14:18Z,728
S43_C1_M,bVOC,Parts Per Billion,2021-07-06T10:14:22Z,728
S43_C1_M,bVOC,Parts Per Billion,2021-07-06T10:14:25Z,728
S43_C1_M,bVOC,Parts Per Billion,2021-07-06T10:14:26Z,728
S43_C1_M,bVOC,Parts Per Billion,2021-07-06T10:15:01Z,728
S43_C1_M,bVOC,Parts Per Billion,2021-07-06T10:15:03Z,728
S43_C1_M,bVOC,Parts Per Billion,2021-07-06T10:15:05Z,728
S43_C1_M,bVOC,Parts Per Billion,2021-07-06T10:30:11Z,2572
S43_C1_M,bVOC,Parts Per Billion,2021-07-06T10:45:15Z,4040
S43_C1_M,bVOC,Parts Per Billion,2021-07-06T10:45:17Z,4040
S43_C1_M,bVOC,Parts Per Billion,2021-07-06T10:45:26Z,4040
S43_C1_M,bVOC,Parts Per Billion,2021-07-06T10:46:00Z,4040
S43_C1_M,bVOC,Parts Per Billion,2021-07-06T10:46:03Z,4040
S43_C1_M,bVOC,Parts Per Billion,2021-07-06T10:46:05Z,4040
S43_C1_M,Temperature,Celsius,2021-07-05T10:52:09Z,30.43
S43_C1_M,Temperature,Celsius,2021-07-05T10:53:12Z,30.43
S43_C1_M,Temperature,Celsius,2021-07-05T11:08:19Z,30.67
S43_C1_M,Temperature,Celsius,2021-07-05T11:23:25Z,30.84
S43_C1_M,Temperature,Celsius,2021-07-05T11:39:01Z,30.99
S43_C1_M,Temperature,Celsius,2021-07-05T11:54:07Z,31.09
S43_C1_M,Temperature,Celsius,2021-07-05T12:09:12Z,31.19
S43_C1_M,Temperature,Celsius,2021-07-05T12:24:16Z,31.27
S43_C1_M,Temperature,Celsius,2021-07-05T12:39:20Z,31.35
S43_C1_M,Temperature,Celsius,2021-07-05T12:54:24Z,31.4
S43_C1_M,Temperature,Celsius,2021-07-05T13:10:00Z,31.44
S43_C1_M,Temperature,Celsius,2021-07-05T13:25:06Z,31.47
S43_C1_M,Temperature,Celsius,2021-07-05T13:40:12Z,31.49
S43_C1_M,Temperature,Celsius,2021-07-05T13:55:18Z,31.51
S43_C1_M,Temperature,Celsius,2021-07-05T14:10:24Z,31.52
S43_C1_M,Temperature,Celsius,2021-07-05T14:26:00Z,31.53
S43_C1_M,Temperature,Celsius,2021-07-05T14:41:05Z,31.55
S43_C1_M,Temperature,Celsius,2021-07-05T14:56:11Z,31.59
S43_C1_M,Temperature,Celsius,2021-07-05T15:11:17Z,31.62
S43_C1_M,Temperature,Celsius,2021-07-05T15:26:23Z,31.64
S43_C1_M,Temperature,Celsius,2021-07-05T15:41:29Z,31.64
S43_C1_M,Temperature,Celsius,2021-07-05T15:57:05Z,31.62
S43_C1_M,Temperature,Celsius,2021-07-05T16:12:11Z,31.56
S43_C1_M,Temperature,Celsius,2021-07-05T16:27:17Z,31.51
S43_C1_M,Temperature,Celsius,2021-07-05T16:42:23Z,31.47
S43_C1_M,Temperature,Celsius,2021-07-05T16:57:29Z,31.41
S43_C1_M,Temperature,Celsius,2021-07-05T17:13:05Z,31.36
S43_C1_M,Temperature,Celsius,2021-07-05T17:28:11Z,31.32
